protein	locus	connectivity
ENSMUSP00000026256	ENSMUSG00000025226	3
ENSMUSP00000047326	ENSMUSG00000025228	3
ENSMUSP00000026259	ENSMUSG00000025229	34
ENSMUSP00000107498	ENSMUSG00000025231	72
ENSMUSP00000026262	ENSMUSG00000025232	61
ENSMUSP00000026264	ENSMUSG00000025234	13
ENSMUSP00000026265	ENSMUSG00000025235	55
ENSMUSP00000026266	ENSMUSG00000025236	29
ENSMUSP00000026269	ENSMUSG00000025239	37
ENSMUSP00000026270	ENSMUSG00000025240	36
ENSMUSP00000081764	ENSMUSG00000025241	7
ENSMUSP00000047690	ENSMUSG00000025243	3
ENSMUSP00000026274	ENSMUSG00000025245	2
ENSMUSP00000085549	ENSMUSG00000025246	180
ENSMUSP00000108236	ENSMUSG00000025260	52
ENSMUSP00000026292	ENSMUSG00000025261	15
ENSMUSP00000073082	ENSMUSG00000025262	1
ENSMUSP00000108303	ENSMUSG00000025264	11
ENSMUSP00000026296	ENSMUSG00000025265	38
ENSMUSP00000026297	ENSMUSG00000025266	5
ENSMUSP00000108320	ENSMUSG00000025268	1
ENSMUSP00000108341	ENSMUSG00000025269	13
ENSMUSP00000066040	ENSMUSG00000025270	39
ENSMUSP00000108333	ENSMUSG00000025271	22
ENSMUSP00000084513	ENSMUSG00000025272	7
ENSMUSP00000026313	ENSMUSG00000025277	14
ENSMUSP00000052020	ENSMUSG00000025278	33
ENSMUSP00000026315	ENSMUSG00000025279	6
ENSMUSP00000026322	ENSMUSG00000025280	101
ENSMUSP00000108170	ENSMUSG00000025283	55
ENSMUSP00000026328	ENSMUSG00000025289	16
ENSMUSP00000108003	ENSMUSG00000025290	51
ENSMUSP00000077825	ENSMUSG00000025290	24
ENSMUSP00000026352	ENSMUSG00000025314	10
ENSMUSP00000026354	ENSMUSG00000025316	16
ENSMUSP00000026357	ENSMUSG00000025318	18
ENSMUSP00000026360	ENSMUSG00000025321	97
ENSMUSP00000026367	ENSMUSG00000025323	35
ENSMUSP00000055608	ENSMUSG00000025324	23
ENSMUSP00000082326	ENSMUSG00000025326	48
ENSMUSP00000026377	ENSMUSG00000025328	3
ENSMUSP00000026378	ENSMUSG00000025329	1
ENSMUSP00000026381	ENSMUSG00000025330	32
ENSMUSP00000108203	ENSMUSG00000025332	34
ENSMUSP00000026383	ENSMUSG00000025333	13
ENSMUSP00000026387	ENSMUSG00000025337	38
ENSMUSP00000114103	ENSMUSG00000025340	10
ENSMUSP00000026398	ENSMUSG00000025347	19
ENSMUSP00000072897	ENSMUSG00000025348	100
ENSMUSP00000026406	ENSMUSG00000025350	56
ENSMUSP00000026407	ENSMUSG00000025351	44
ENSMUSP00000026408	ENSMUSG00000025352	32
ENSMUSP00000026410	ENSMUSG00000025354	10
ENSMUSP00000026411	ENSMUSG00000025355	18
ENSMUSP00000026414	ENSMUSG00000025357	46
ENSMUSP00000026416	ENSMUSG00000025358	275
ENSMUSP00000051869	ENSMUSG00000025359	20
ENSMUSP00000076447	ENSMUSG00000025362	71
ENSMUSP00000026420	ENSMUSG00000025362	94
ENSMUSP00000026425	ENSMUSG00000025364	45
ENSMUSP00000026427	ENSMUSG00000025366	1
ENSMUSP00000100868	ENSMUSG00000025369	15
ENSMUSP00000026432	ENSMUSG00000025370	47
ENSMUSP00000026434	ENSMUSG00000025371	14
ENSMUSP00000026436	ENSMUSG00000025372	63
ENSMUSP00000100869	ENSMUSG00000025373	32
ENSMUSP00000026439	ENSMUSG00000025374	2
ENSMUSP00000067181	ENSMUSG00000025375	26
ENSMUSP00000091428	ENSMUSG00000025377	7
ENSMUSP00000026445	ENSMUSG00000025380	47
ENSMUSP00000026446	ENSMUSG00000025381	9
ENSMUSP00000026449	ENSMUSG00000025383	123
ENSMUSP00000026448	ENSMUSG00000025384	8
ENSMUSP00000119246	ENSMUSG00000025386	45
ENSMUSP00000026455	ENSMUSG00000025389	2
ENSMUSP00000026459	ENSMUSG00000025393	124
ENSMUSP00000026461	ENSMUSG00000025395	91
ENSMUSP00000026462	ENSMUSG00000025396	32
ENSMUSP00000026466	ENSMUSG00000025400	9
ENSMUSP00000078540	ENSMUSG00000025401	3
ENSMUSP00000026469	ENSMUSG00000025402	24
ENSMUSP00000026470	ENSMUSG00000025403	55
ENSMUSP00000026472	ENSMUSG00000025405	12
ENSMUSP00000026474	ENSMUSG00000025407	113
ENSMUSP00000026475	ENSMUSG00000025408	96
ENSMUSP00000026479	ENSMUSG00000025410	100
ENSMUSP00000026480	ENSMUSG00000025413	7
ENSMUSP00000013970	ENSMUSG00000025417	68
ENSMUSP00000049563	ENSMUSG00000025418	32
ENSMUSP00000122079	ENSMUSG00000025420	5
ENSMUSP00000043466	ENSMUSG00000025422	32
ENSMUSP00000110425	ENSMUSG00000025423	42
ENSMUSP00000074764	ENSMUSG00000025425	12
ENSMUSP00000026495	ENSMUSG00000025428	130
ENSMUSP00000110389	ENSMUSG00000025429	12
ENSMUSP00000026498	ENSMUSG00000025431	19
ENSMUSP00000123405	ENSMUSG00000025432	9
ENSMUSP00000026504	ENSMUSG00000025436	2
ENSMUSP00000113265	ENSMUSG00000025437	75
ENSMUSP00000026506	ENSMUSG00000025439	17
ENSMUSP00000117256	ENSMUSG00000025451	25
ENSMUSP00000104831	ENSMUSG00000025453	19
ENSMUSP00000026537	ENSMUSG00000025464	7
ENSMUSP00000026538	ENSMUSG00000025465	53
ENSMUSP00000115799	ENSMUSG00000025466	2
ENSMUSP00000026540	ENSMUSG00000025467	1
ENSMUSP00000026541	ENSMUSG00000025468	7
ENSMUSP00000057312	ENSMUSG00000025469	5
ENSMUSP00000101685	ENSMUSG00000025473	22
ENSMUSP00000026547	ENSMUSG00000025474	69
ENSMUSP00000026548	ENSMUSG00000025475	6
ENSMUSP00000026550	ENSMUSG00000025477	28
ENSMUSP00000112896	ENSMUSG00000025478	15
ENSMUSP00000026552	ENSMUSG00000025479	135
ENSMUSP00000026553	ENSMUSG00000025480	7
ENSMUSP00000026554	ENSMUSG00000025481	10
ENSMUSP00000111960	ENSMUSG00000025484	22
ENSMUSP00000026558	ENSMUSG00000025485	17
ENSMUSP00000026559	ENSMUSG00000025486	27
ENSMUSP00000026560	ENSMUSG00000025487	52
ENSMUSP00000026561	ENSMUSG00000025488	12
ENSMUSP00000026562	ENSMUSG00000025489	4
ENSMUSP00000026565	ENSMUSG00000025492	49
ENSMUSP00000095571	ENSMUSG00000025494	22
ENSMUSP00000026568	ENSMUSG00000025495	27
ENSMUSP00000026569	ENSMUSG00000025496	35
ENSMUSP00000101642	ENSMUSG00000025497	4
ENSMUSP00000026571	ENSMUSG00000025498	119
ENSMUSP00000026576	ENSMUSG00000025503	82
ENSMUSP00000026577	ENSMUSG00000025504	3
ENSMUSP00000026580	ENSMUSG00000025507	8
ENSMUSP00000101625	ENSMUSG00000025508	222
ENSMUSP00000026583	ENSMUSG00000025509	29
ENSMUSP00000101622	ENSMUSG00000025510	15
ENSMUSP00000114693	ENSMUSG00000025512	2
ENSMUSP00000026590	ENSMUSG00000025515	42
ENSMUSP00000002025	ENSMUSG00000025519	62
ENSMUSP00000026607	ENSMUSG00000025531	17
ENSMUSP00000026608	ENSMUSG00000025532	21
ENSMUSP00000026610	ENSMUSG00000025533	93
ENSMUSP00000026613	ENSMUSG00000025534	66
ENSMUSP00000026617	ENSMUSG00000025537	23
ENSMUSP00000097868	ENSMUSG00000025544	6
ENSMUSP00000026625	ENSMUSG00000025545	16
ENSMUSP00000093185	ENSMUSG00000025551	18
ENSMUSP00000085728	ENSMUSG00000025557	18
ENSMUSP00000097871	ENSMUSG00000025558	14
ENSMUSP00000101951	ENSMUSG00000025571	4
ENSMUSP00000026659	ENSMUSG00000025572	11
ENSMUSP00000026661	ENSMUSG00000025574	150
ENSMUSP00000101896	ENSMUSG00000025575	70
ENSMUSP00000017576	ENSMUSG00000025576	43
ENSMUSP00000026662	ENSMUSG00000025577	47
ENSMUSP00000026663	ENSMUSG00000025578	21
ENSMUSP00000026666	ENSMUSG00000025579	37
ENSMUSP00000026667	ENSMUSG00000025580	13
ENSMUSP00000026670	ENSMUSG00000025582	36
ENSMUSP00000026671	ENSMUSG00000025583	34
ENSMUSP00000102962	ENSMUSG00000025584	61
ENSMUSP00000078866	ENSMUSG00000025586	44
ENSMUSP00000026677	ENSMUSG00000025588	23
ENSMUSP00000064393	ENSMUSG00000025592	18
ENSMUSP00000026693	ENSMUSG00000025602	41
ENSMUSP00000038368	ENSMUSG00000025607	31
ENSMUSP00000026698	ENSMUSG00000025608	34
ENSMUSP00000026699	ENSMUSG00000025609	23
ENSMUSP00000026700	ENSMUSG00000025610	8
ENSMUSP00000026703	ENSMUSG00000025612	20
ENSMUSP00000026704	ENSMUSG00000025613	22
ENSMUSP00000026710	ENSMUSG00000025616	3
ENSMUSP00000110497	ENSMUSG00000025626	14
ENSMUSP00000026723	ENSMUSG00000025630	143
ENSMUSP00000026735	ENSMUSG00000025645	5
ENSMUSP00000057197	ENSMUSG00000025648	14
ENSMUSP00000107701	ENSMUSG00000025650	16
ENSMUSP00000026743	ENSMUSG00000025651	99
ENSMUSP00000109516	ENSMUSG00000025656	26
ENSMUSP00000026750	ENSMUSG00000025658	3
ENSMUSP00000080694	ENSMUSG00000025665	35
ENSMUSP00000026760	ENSMUSG00000025666	2
ENSMUSP00000026795	ENSMUSG00000025701	81
ENSMUSP00000098593	ENSMUSG00000025702	1
ENSMUSP00000046329	ENSMUSG00000025716	4
ENSMUSP00000113407	ENSMUSG00000025723	15
ENSMUSP00000112944	ENSMUSG00000025724	40
ENSMUSP00000026820	ENSMUSG00000025726	3
ENSMUSP00000094981	ENSMUSG00000025728	10
ENSMUSP00000026826	ENSMUSG00000025730	1
ENSMUSP00000026827	ENSMUSG00000025731	4
ENSMUSP00000026828	ENSMUSG00000025732	9
ENSMUSP00000044639	ENSMUSG00000025733	124
ENSMUSP00000122744	ENSMUSG00000025736	1
ENSMUSP00000048562	ENSMUSG00000025738	1
ENSMUSP00000110760	ENSMUSG00000025739	71
ENSMUSP00000033809	ENSMUSG00000025742	37
ENSMUSP00000065877	ENSMUSG00000025743	81
ENSMUSP00000120976	ENSMUSG00000025745	49
ENSMUSP00000026845	ENSMUSG00000025746	369
ENSMUSP00000026846	ENSMUSG00000025747	103
ENSMUSP00000076336	ENSMUSG00000025757	16
ENSMUSP00000026858	ENSMUSG00000025758	160
ENSMUSP00000026859	ENSMUSG00000025759	18
ENSMUSP00000026865	ENSMUSG00000025764	28
ENSMUSP00000111001	ENSMUSG00000025774	4
ENSMUSP00000092686	ENSMUSG00000025776	1
ENSMUSP00000026879	ENSMUSG00000025777	12
ENSMUSP00000026881	ENSMUSG00000025779	38
ENSMUSP00000110547	ENSMUSG00000025781	125
ENSMUSP00000026888	ENSMUSG00000025782	23
ENSMUSP00000026890	ENSMUSG00000025784	14
ENSMUSP00000026891	ENSMUSG00000025785	23
ENSMUSP00000117392	ENSMUSG00000025786	3
ENSMUSP00000026893	ENSMUSG00000025787	23
ENSMUSP00000026896	ENSMUSG00000025789	13
ENSMUSP00000026897	ENSMUSG00000025790	1
ENSMUSP00000099844	ENSMUSG00000025791	47
ENSMUSP00000026899	ENSMUSG00000025792	4
ENSMUSP00000026900	ENSMUSG00000025793	52
ENSMUSP00000077118	ENSMUSG00000025794	178
ENSMUSP00000026902	ENSMUSG00000025795	1
ENSMUSP00000026911	ENSMUSG00000025804	79
ENSMUSP00000092780	ENSMUSG00000025808	3
ENSMUSP00000087457	ENSMUSG00000025809	159
ENSMUSP00000026917	ENSMUSG00000025810	87
ENSMUSP00000026921	ENSMUSG00000025812	62
ENSMUSP00000026922	ENSMUSG00000025813	21
ENSMUSP00000026924	ENSMUSG00000025815	8
ENSMUSP00000032168	ENSMUSG00000025816	59
ENSMUSP00000026927	ENSMUSG00000025817	13
ENSMUSP00000076521	ENSMUSG00000025823	51
ENSMUSP00000107930	ENSMUSG00000025825	31
ENSMUSP00000026957	ENSMUSG00000025839	2
ENSMUSP00000026972	ENSMUSG00000025854	1
ENSMUSP00000106515	ENSMUSG00000025855	14
ENSMUSP00000038870	ENSMUSG00000025856	47
ENSMUSP00000026976	ENSMUSG00000025858	8
ENSMUSP00000110746	ENSMUSG00000025860	60
ENSMUSP00000110725	ENSMUSG00000025862	61
ENSMUSP00000026985	ENSMUSG00000025867	17
ENSMUSP00000026986	ENSMUSG00000025868	34
ENSMUSP00000122180	ENSMUSG00000025869	12
ENSMUSP00000121182	ENSMUSG00000025873	24
ENSMUSP00000097102	ENSMUSG00000025875	1
ENSMUSP00000026994	ENSMUSG00000025876	10
ENSMUSP00000123233	ENSMUSG00000025877	48
ENSMUSP00000026997	ENSMUSG00000025878	23
ENSMUSP00000026999	ENSMUSG00000025880	94
ENSMUSP00000112728	ENSMUSG00000025885	7
ENSMUSP00000027009	ENSMUSG00000025887	31
ENSMUSP00000027015	ENSMUSG00000025888	91
ENSMUSP00000109907	ENSMUSG00000025889	75
ENSMUSP00000066980	ENSMUSG00000025892	27
ENSMUSP00000053971	ENSMUSG00000025894	11
ENSMUSP00000027027	ENSMUSG00000025898	1
ENSMUSP00000061511	ENSMUSG00000025899	4
ENSMUSP00000111202	ENSMUSG00000025900	57
ENSMUSP00000027035	ENSMUSG00000025902	65
ENSMUSP00000027036	ENSMUSG00000025903	27
ENSMUSP00000027038	ENSMUSG00000025905	24
ENSMUSP00000027040	ENSMUSG00000025907	65
ENSMUSP00000118101	ENSMUSG00000025909	4
ENSMUSP00000116627	ENSMUSG00000025911	7
ENSMUSP00000086034	ENSMUSG00000025912	31
ENSMUSP00000095437	ENSMUSG00000025915	41
ENSMUSP00000027050	ENSMUSG00000025917	243
ENSMUSP00000053190	ENSMUSG00000025920	2
ENSMUSP00000027053	ENSMUSG00000025921	13
ENSMUSP00000027057	ENSMUSG00000025925	58
ENSMUSP00000027059	ENSMUSG00000025927	20
ENSMUSP00000027061	ENSMUSG00000025929	149
ENSMUSP00000027062	ENSMUSG00000025930	26
ENSMUSP00000027066	ENSMUSG00000025932	57
ENSMUSP00000027067	ENSMUSG00000025934	88
ENSMUSP00000027068	ENSMUSG00000025935	61
ENSMUSP00000027071	ENSMUSG00000025937	16
ENSMUSP00000111062	ENSMUSG00000025938	4
ENSMUSP00000070497	ENSMUSG00000025940	13
ENSMUSP00000084617	ENSMUSG00000025945	3
ENSMUSP00000027083	ENSMUSG00000025946	5
ENSMUSP00000109676	ENSMUSG00000025949	46
ENSMUSP00000027087	ENSMUSG00000025950	76
ENSMUSP00000109698	ENSMUSG00000025952	20
ENSMUSP00000059973	ENSMUSG00000025958	339
ENSMUSP00000109723	ENSMUSG00000025959	13
ENSMUSP00000027103	ENSMUSG00000025962	12
ENSMUSP00000109738	ENSMUSG00000025964	5
ENSMUSP00000116492	ENSMUSG00000025967	91
ENSMUSP00000027111	ENSMUSG00000025968	91
ENSMUSP00000109794	ENSMUSG00000025969	53
ENSMUSP00000084868	ENSMUSG00000025977	4
ENSMUSP00000027121	ENSMUSG00000025978	1
ENSMUSP00000027122	ENSMUSG00000025979	45
ENSMUSP00000027123	ENSMUSG00000025980	181
ENSMUSP00000027125	ENSMUSG00000025981	4
ENSMUSP00000027127	ENSMUSG00000025982	116
ENSMUSP00000027131	ENSMUSG00000025986	12
ENSMUSP00000027144	ENSMUSG00000025991	95
ENSMUSP00000027137	ENSMUSG00000025993	36
ENSMUSP00000027139	ENSMUSG00000025995	4
ENSMUSP00000027146	ENSMUSG00000025997	11
ENSMUSP00000109612	ENSMUSG00000026000	3
ENSMUSP00000027153	ENSMUSG00000026003	37
ENSMUSP00000109628	ENSMUSG00000026005	84
ENSMUSP00000027162	ENSMUSG00000026009	69
ENSMUSP00000027164	ENSMUSG00000026011	84
ENSMUSP00000027165	ENSMUSG00000026012	123
ENSMUSP00000114596	ENSMUSG00000026014	2
ENSMUSP00000027171	ENSMUSG00000026017	12
ENSMUSP00000113494	ENSMUSG00000026019	89
ENSMUSP00000027174	ENSMUSG00000026020	158
ENSMUSP00000088935	ENSMUSG00000026021	107
ENSMUSP00000027178	ENSMUSG00000026024	37
ENSMUSP00000027185	ENSMUSG00000026027	13
ENSMUSP00000050118	ENSMUSG00000026028	5
ENSMUSP00000027189	ENSMUSG00000026029	126
ENSMUSP00000027193	ENSMUSG00000026032	132
ENSMUSP00000034868	ENSMUSG00000026034	24
ENSMUSP00000084799	ENSMUSG00000026036	15
ENSMUSP00000027198	ENSMUSG00000026037	48
ENSMUSP00000027202	ENSMUSG00000026039	101
ENSMUSP00000083620	ENSMUSG00000026042	74
ENSMUSP00000085192	ENSMUSG00000026043	103
ENSMUSP00000064500	ENSMUSG00000026047	2
ENSMUSP00000027214	ENSMUSG00000026048	91
ENSMUSP00000114624	ENSMUSG00000026049	1
ENSMUSP00000027217	ENSMUSG00000026051	8
ENSMUSP00000027226	ENSMUSG00000026058	10
ENSMUSP00000027231	ENSMUSG00000026062	15
ENSMUSP00000027232	ENSMUSG00000026064	22
ENSMUSP00000027233	ENSMUSG00000026065	29
ENSMUSP00000027237	ENSMUSG00000026068	41
ENSMUSP00000095379	ENSMUSG00000026069	58
ENSMUSP00000085298	ENSMUSG00000026070	44
ENSMUSP00000027241	ENSMUSG00000026072	67
ENSMUSP00000027243	ENSMUSG00000026073	55
ENSMUSP00000085315	ENSMUSG00000026074	52
ENSMUSP00000054719	ENSMUSG00000026077	39
ENSMUSP00000027249	ENSMUSG00000026080	14
ENSMUSP00000027251	ENSMUSG00000026082	17
ENSMUSP00000027252	ENSMUSG00000026083	70
ENSMUSP00000027256	ENSMUSG00000026087	1
ENSMUSP00000027257	ENSMUSG00000026088	5
ENSMUSP00000027263	ENSMUSG00000026094	3
ENSMUSP00000095351	ENSMUSG00000026095	5
ENSMUSP00000110128	ENSMUSG00000026096	22
ENSMUSP00000027267	ENSMUSG00000026098	30
ENSMUSP00000027269	ENSMUSG00000026100	50
ENSMUSP00000027271	ENSMUSG00000026102	26
ENSMUSP00000110158	ENSMUSG00000026103	26
ENSMUSP00000066743	ENSMUSG00000026104	218
ENSMUSP00000027279	ENSMUSG00000026107	2
ENSMUSP00000110214	ENSMUSG00000026109	35
ENSMUSP00000038894	ENSMUSG00000026110	7
ENSMUSP00000027286	ENSMUSG00000026112	1
ENSMUSP00000121803	ENSMUSG00000026113	19
ENSMUSP00000027288	ENSMUSG00000026114	37
ENSMUSP00000027289	ENSMUSG00000026115	1
ENSMUSP00000027290	ENSMUSG00000026116	8
ENSMUSP00000027291	ENSMUSG00000026117	75
ENSMUSP00000027295	ENSMUSG00000026121	16
ENSMUSP00000027297	ENSMUSG00000026123	2
ENSMUSP00000027298	ENSMUSG00000026124	10
ENSMUSP00000027299	ENSMUSG00000026125	1
ENSMUSP00000027302	ENSMUSG00000026126	8
ENSMUSP00000027303	ENSMUSG00000026127	116
ENSMUSP00000095392	ENSMUSG00000026131	17
ENSMUSP00000027312	ENSMUSG00000026134	55
ENSMUSP00000110899	ENSMUSG00000026141	10
ENSMUSP00000051579	ENSMUSG00000026147	18
ENSMUSP00000077446	ENSMUSG00000026150	14
ENSMUSP00000027338	ENSMUSG00000026154	25
ENSMUSP00000027339	ENSMUSG00000026155	12
ENSMUSP00000066582	ENSMUSG00000026156	13
ENSMUSP00000109071	ENSMUSG00000026159	139
ENSMUSP00000116797	ENSMUSG00000026162	15
ENSMUSP00000052336	ENSMUSG00000026163	1
ENSMUSP00000027351	ENSMUSG00000026166	76
ENSMUSP00000006718	ENSMUSG00000026167	50
ENSMUSP00000027356	ENSMUSG00000026170	54
ENSMUSP00000027357	ENSMUSG00000026171	10
ENSMUSP00000109362	ENSMUSG00000026172	17
ENSMUSP00000109377	ENSMUSG00000026173	67
ENSMUSP00000084466	ENSMUSG00000026174	7
ENSMUSP00000027366	ENSMUSG00000026175	35
ENSMUSP00000027367	ENSMUSG00000026176	14
ENSMUSP00000027368	ENSMUSG00000026177	48
ENSMUSP00000084478	ENSMUSG00000026179	5
ENSMUSP00000027372	ENSMUSG00000026180	76
ENSMUSP00000027373	ENSMUSG00000026181	6
ENSMUSP00000027374	ENSMUSG00000026182	27
ENSMUSP00000027377	ENSMUSG00000026185	57
ENSMUSP00000027379	ENSMUSG00000026187	74
ENSMUSP00000027381	ENSMUSG00000026189	5
ENSMUSP00000027384	ENSMUSG00000026192	88
ENSMUSP00000054499	ENSMUSG00000026193	239
ENSMUSP00000027393	ENSMUSG00000026196	63
ENSMUSP00000027394	ENSMUSG00000026197	15
ENSMUSP00000027396	ENSMUSG00000026198	22
ENSMUSP00000027401	ENSMUSG00000026201	2
ENSMUSP00000111700	ENSMUSG00000026202	15
ENSMUSP00000112281	ENSMUSG00000026203	36
ENSMUSP00000027404	ENSMUSG00000026204	13
ENSMUSP00000084361	ENSMUSG00000026207	4
ENSMUSP00000027409	ENSMUSG00000026208	91
ENSMUSP00000070821	ENSMUSG00000026209	23
ENSMUSP00000109197	ENSMUSG00000026211	2
ENSMUSP00000109182	ENSMUSG00000026213	1
ENSMUSP00000027421	ENSMUSG00000026219	7
ENSMUSP00000066399	ENSMUSG00000026222	30
ENSMUSP00000027425	ENSMUSG00000026223	36
ENSMUSP00000027431	ENSMUSG00000026228	11
ENSMUSP00000108956	ENSMUSG00000026229	52
ENSMUSP00000027438	ENSMUSG00000026234	145
ENSMUSP00000027451	ENSMUSG00000026235	41
ENSMUSP00000027440	ENSMUSG00000026237	9
ENSMUSP00000044188	ENSMUSG00000026238	36
ENSMUSP00000027444	ENSMUSG00000026239	47
ENSMUSP00000027446	ENSMUSG00000026240	6
ENSMUSP00000027449	ENSMUSG00000026241	24
ENSMUSP00000069508	ENSMUSG00000026245	72
ENSMUSP00000027455	ENSMUSG00000026246	4
ENSMUSP00000027463	ENSMUSG00000026247	13
ENSMUSP00000027464	ENSMUSG00000026248	2
ENSMUSP00000027467	ENSMUSG00000026249	38
ENSMUSP00000084162	ENSMUSG00000026251	21
ENSMUSP00000027470	ENSMUSG00000026253	22
ENSMUSP00000053403	ENSMUSG00000026254	3
ENSMUSP00000066894	ENSMUSG00000026259	58
ENSMUSP00000027478	ENSMUSG00000026260	51
ENSMUSP00000027488	ENSMUSG00000026270	45
ENSMUSP00000070832	ENSMUSG00000026271	6
ENSMUSP00000027491	ENSMUSG00000026272	47
ENSMUSP00000027493	ENSMUSG00000026274	5
ENSMUSP00000027494	ENSMUSG00000026275	15
ENSMUSP00000027495	ENSMUSG00000026276	28
ENSMUSP00000027498	ENSMUSG00000026277	23
ENSMUSP00000027499	ENSMUSG00000026278	32
ENSMUSP00000108526	ENSMUSG00000026279	2
ENSMUSP00000027502	ENSMUSG00000026280	13
ENSMUSP00000108515	ENSMUSG00000026281	104
ENSMUSP00000027505	ENSMUSG00000026283	5
ENSMUSP00000027507	ENSMUSG00000026285	61
ENSMUSP00000044647	ENSMUSG00000026288	78
ENSMUSP00000108815	ENSMUSG00000026289	55
ENSMUSP00000027518	ENSMUSG00000026295	5
ENSMUSP00000027528	ENSMUSG00000026303	31
ENSMUSP00000027529	ENSMUSG00000026304	7
ENSMUSP00000095254	ENSMUSG00000026305	10
ENSMUSP00000027532	ENSMUSG00000026307	9
ENSMUSP00000027534	ENSMUSG00000026309	4
ENSMUSP00000027538	ENSMUSG00000026311	11
ENSMUSP00000108321	ENSMUSG00000026312	20
ENSMUSP00000008995	ENSMUSG00000026313	43
ENSMUSP00000000514	ENSMUSG00000026315	1
ENSMUSP00000027554	ENSMUSG00000026317	39
ENSMUSP00000083926	ENSMUSG00000026319	6
ENSMUSP00000027559	ENSMUSG00000026321	74
ENSMUSP00000027560	ENSMUSG00000026322	23
ENSMUSP00000057112	ENSMUSG00000026335	17
ENSMUSP00000027580	ENSMUSG00000026342	1
ENSMUSP00000027581	ENSMUSG00000026343	25
ENSMUSP00000027582	ENSMUSG00000026344	4
ENSMUSP00000027585	ENSMUSG00000026347	5
ENSMUSP00000048482	ENSMUSG00000026348	9
ENSMUSP00000027587	ENSMUSG00000026349	63
ENSMUSP00000027592	ENSMUSG00000026353	3
ENSMUSP00000073190	ENSMUSG00000026354	53
ENSMUSP00000027601	ENSMUSG00000026355	75
ENSMUSP00000027602	ENSMUSG00000026356	25
ENSMUSP00000027603	ENSMUSG00000026357	19
ENSMUSP00000027604	ENSMUSG00000026358	32
ENSMUSP00000115558	ENSMUSG00000026360	59
ENSMUSP00000018337	ENSMUSG00000026361	23
ENSMUSP00000066677	ENSMUSG00000026365	30
ENSMUSP00000027615	ENSMUSG00000026368	19
ENSMUSP00000027623	ENSMUSG00000026374	28
ENSMUSP00000027626	ENSMUSG00000026377	36
ENSMUSP00000027629	ENSMUSG00000026380	29
ENSMUSP00000058966	ENSMUSG00000026383	9
ENSMUSP00000067614	ENSMUSG00000026384	11
ENSMUSP00000114705	ENSMUSG00000026385	21
ENSMUSP00000072660	ENSMUSG00000026387	14
ENSMUSP00000108262	ENSMUSG00000026389	8
ENSMUSP00000027642	ENSMUSG00000026393	3
ENSMUSP00000027643	ENSMUSG00000026394	25
ENSMUSP00000074352	ENSMUSG00000026395	170
ENSMUSP00000027649	ENSMUSG00000026398	108
ENSMUSP00000027650	ENSMUSG00000026399	24
ENSMUSP00000027654	ENSMUSG00000026401	14
ENSMUSP00000027657	ENSMUSG00000026405	9
ENSMUSP00000107695	ENSMUSG00000026407	34
ENSMUSP00000066426	ENSMUSG00000026409	16
ENSMUSP00000113437	ENSMUSG00000026411	1
ENSMUSP00000027667	ENSMUSG00000026413	8
ENSMUSP00000107717	ENSMUSG00000026414	80
ENSMUSP00000108096	ENSMUSG00000026415	2
ENSMUSP00000027673	ENSMUSG00000026416	33
ENSMUSP00000027675	ENSMUSG00000026417	34
ENSMUSP00000121343	ENSMUSG00000026418	36
ENSMUSP00000113064	ENSMUSG00000026420	18
ENSMUSP00000027677	ENSMUSG00000026421	9
ENSMUSP00000027682	ENSMUSG00000026424	11
ENSMUSP00000032395	ENSMUSG00000026425	52
ENSMUSP00000032196	ENSMUSG00000026426	3
ENSMUSP00000083770	ENSMUSG00000026427	3
ENSMUSP00000027687	ENSMUSG00000026429	2
ENSMUSP00000027688	ENSMUSG00000026430	35
ENSMUSP00000027690	ENSMUSG00000026432	15
ENSMUSP00000108005	ENSMUSG00000026433	14
ENSMUSP00000062576	ENSMUSG00000026434	11
ENSMUSP00000070639	ENSMUSG00000026435	45
ENSMUSP00000027696	ENSMUSG00000026436	17
ENSMUSP00000027697	ENSMUSG00000026437	2
ENSMUSP00000027700	ENSMUSG00000026439	25
ENSMUSP00000035454	ENSMUSG00000026442	34
ENSMUSP00000027706	ENSMUSG00000026443	7
ENSMUSP00000076911	ENSMUSG00000026447	29
ENSMUSP00000083666	ENSMUSG00000026450	7
ENSMUSP00000112438	ENSMUSG00000026452	23
ENSMUSP00000112227	ENSMUSG00000026455	4
ENSMUSP00000027726	ENSMUSG00000026456	21
ENSMUSP00000107856	ENSMUSG00000026457	27
ENSMUSP00000027729	ENSMUSG00000026458	5
ENSMUSP00000027730	ENSMUSG00000026459	132
ENSMUSP00000119242	ENSMUSG00000026463	12
ENSMUSP00000027736	ENSMUSG00000026464	17
ENSMUSP00000027740	ENSMUSG00000026468	25
ENSMUSP00000027741	ENSMUSG00000026469	44
ENSMUSP00000107409	ENSMUSG00000026470	36
ENSMUSP00000027744	ENSMUSG00000026471	16
ENSMUSP00000083375	ENSMUSG00000026473	65
ENSMUSP00000027748	ENSMUSG00000026475	5
ENSMUSP00000027752	ENSMUSG00000026478	44
ENSMUSP00000027753	ENSMUSG00000026479	39
ENSMUSP00000027754	ENSMUSG00000026480	52
ENSMUSP00000107490	ENSMUSG00000026482	8
ENSMUSP00000075476	ENSMUSG00000026484	87
ENSMUSP00000027766	ENSMUSG00000026489	1
