protein	locus	connectivity
ENSMUSP00000000793	ENSMUSG00000000776	83
ENSMUSP00000072254	ENSMUSG00000000782	62
ENSMUSP00000088729	ENSMUSG00000000787	33
ENSMUSP00000000808	ENSMUSG00000000791	59
ENSMUSP00000000809	ENSMUSG00000000792	27
ENSMUSP00000000811	ENSMUSG00000000794	4
ENSMUSP00000099483	ENSMUSG00000000805	26
ENSMUSP00000000828	ENSMUSG00000000811	6
ENSMUSP00000000834	ENSMUSG00000000817	115
ENSMUSP00000104426	ENSMUSG00000000826	24
ENSMUSP00000104427	ENSMUSG00000000827	18
ENSMUSP00000110303	ENSMUSG00000000838	43
ENSMUSP00000105140	ENSMUSG00000000861	24
ENSMUSP00000000889	ENSMUSG00000000869	55
ENSMUSP00000000896	ENSMUSG00000000876	2
ENSMUSP00000085299	ENSMUSG00000000881	25
ENSMUSP00000097669	ENSMUSG00000000884	27
ENSMUSP00000000910	ENSMUSG00000000889	50
ENSMUSP00000000924	ENSMUSG00000000901	35
ENSMUSP00000000925	ENSMUSG00000000902	44
ENSMUSP00000113205	ENSMUSG00000000903	4
ENSMUSP00000000939	ENSMUSG00000000915	15
ENSMUSP00000000940	ENSMUSG00000000916	32
ENSMUSP00000062412	ENSMUSG00000000938	19
ENSMUSP00000120276	ENSMUSG00000000938	191
ENSMUSP00000098943	ENSMUSG00000000942	10
ENSMUSP00000096003	ENSMUSG00000000948	10
ENSMUSP00000099488	ENSMUSG00000000948	33
ENSMUSP00000087119	ENSMUSG00000000957	42
ENSMUSP00000000984	ENSMUSG00000000958	5
ENSMUSP00000000985	ENSMUSG00000000959	19
ENSMUSP00000001008	ENSMUSG00000000982	30
ENSMUSP00000001009	ENSMUSG00000000983	34
ENSMUSP00000001040	ENSMUSG00000001014	11
ENSMUSP00000001042	ENSMUSG00000001016	47
ENSMUSP00000061800	ENSMUSG00000001017	46
ENSMUSP00000122090	ENSMUSG00000001018	27
ENSMUSP00000001046	ENSMUSG00000001020	35
ENSMUSP00000001047	ENSMUSG00000001021	7
ENSMUSP00000102952	ENSMUSG00000001023	27
ENSMUSP00000001051	ENSMUSG00000001025	48
ENSMUSP00000102431	ENSMUSG00000001027	20
ENSMUSP00000102426	ENSMUSG00000001029	27
ENSMUSP00000112070	ENSMUSG00000001034	44
ENSMUSP00000104352	ENSMUSG00000001036	16
ENSMUSP00000001079	ENSMUSG00000001052	16
ENSMUSP00000120014	ENSMUSG00000001056	162
ENSMUSP00000001092	ENSMUSG00000001065	14
ENSMUSP00000068402	ENSMUSG00000001076	1
ENSMUSP00000101475	ENSMUSG00000001089	1
ENSMUSP00000001122	ENSMUSG00000001095	18
ENSMUSP00000001125	ENSMUSG00000001098	5
ENSMUSP00000001127	ENSMUSG00000001100	9
ENSMUSP00000118015	ENSMUSG00000001105	16
ENSMUSP00000001147	ENSMUSG00000001119	81
ENSMUSP00000001148	ENSMUSG00000001120	5
ENSMUSP00000103904	ENSMUSG00000001123	33
ENSMUSP00000001155	ENSMUSG00000001127	38
ENSMUSP00000001156	ENSMUSG00000001128	30
ENSMUSP00000110999	ENSMUSG00000001131	81
ENSMUSP00000115342	ENSMUSG00000001134	55
ENSMUSP00000001166	ENSMUSG00000001138	2
ENSMUSP00000001178	ENSMUSG00000001150	13
