Ensembl Gene ID	UCSC ID
ENSMUSG00000038903	uc008fnw.1
ENSMUSG00000002608	
ENSMUSG00000038903	uc008fnx.1
ENSMUSG00000103474	
ENSMUSG00000104323	
ENSMUSG00000002608	
ENSMUSG00000002608	
ENSMUSG00000038903	
ENSMUSG00000083902	
ENSMUSG00000047733	uc008ghf.2
ENSMUSG00000038903	
ENSMUSG00000068889	uc008qen.1
ENSMUSG00000091539	uc008dxj.1
ENSMUSG00000047733	uc008ghe.2
ENSMUSG00000091656	uc009vbk.1
ENSMUSG00000081444	
ENSMUSG00000093405	
ENSMUSG00000026051	uc007avp.2
ENSMUSG00000063514	
ENSMUSG00000101631	
ENSMUSG00000079424	uc033ikn.1
ENSMUSG00000002608	
ENSMUSG00000082410	
ENSMUSG00000089958	
ENSMUSG00000099798	
ENSMUSG00000002608	
ENSMUSG00000087085	
ENSMUSG00000002608	
ENSMUSG00000079424	
ENSMUSG00000100048	
ENSMUSG00000089909	
ENSMUSG00000002608	
ENSMUSG00000079424	uc033ikn.1
ENSMUSG00000079424	
ENSMUSG00000073103	uc011xsh.1
ENSMUSG00000071343	
ENSMUSG00000079424	uc033ikn.1
ENSMUSG00000098304	uc009ots.1
ENSMUSG00000096920	
ENSMUSG00000100621	
ENSMUSG00000072049	uc009uep.1
ENSMUSG00000030835	uc009gyb.2
ENSMUSG00000067613	
ENSMUSG00000097086	
ENSMUSG00000030835	
ENSMUSG00000061150	uc008aqe.1
ENSMUSG00000079022	uc007wbj.2
ENSMUSG00000030835	
ENSMUSG00000103897	uc008eqv.1
ENSMUSG00000030835	
ENSMUSG00000079022	
ENSMUSG00000030835	
ENSMUSG00000050919	uc007rpl.1
ENSMUSG00000100544	
ENSMUSG00000100544	
ENSMUSG00000079022	
ENSMUSG00000079022	
ENSMUSG00000062878	uc009ifb.1
ENSMUSG00000061544	uc012aln.1
ENSMUSG00000067613	uc007xtj.2
ENSMUSG00000032020	uc009pag.1
ENSMUSG00000061544	
ENSMUSG00000074282	uc009fph.2
ENSMUSG00000045761	uc008dmt.1
ENSMUSG00000061544	
ENSMUSG00000032020	uc009pag.1
ENSMUSG00000096122	uc029ybo.1
ENSMUSG00000082362	
ENSMUSG00000061544	uc012aln.1
ENSMUSG00000045761	uc008dmu.1
ENSMUSG00000032020	
ENSMUSG00000082555	
ENSMUSG00000061544	uc012aln.1
ENSMUSG00000074282	uc009fpg.2
ENSMUSG00000032020	
ENSMUSG00000061544	uc012aln.1
ENSMUSG00000097586	
ENSMUSG00000045761	
ENSMUSG00000032020	
ENSMUSG00000074282	
ENSMUSG00000100036	
ENSMUSG00000045761	uc008dmt.1
ENSMUSG00000022346	uc007vyh.2
ENSMUSG00000022346	uc007vyg.2
ENSMUSG00000032020	
ENSMUSG00000074282	
ENSMUSG00000074282	
ENSMUSG00000022346	uc007vyg.2
ENSMUSG00000074282	
ENSMUSG00000099710	
ENSMUSG00000095803	
ENSMUSG00000046615	uc009tbj.1
ENSMUSG00000022346	uc007vyh.2
ENSMUSG00000036959	uc009tcc.1
ENSMUSG00000047390	uc009lcc.2
ENSMUSG00000036959	
ENSMUSG00000022346	uc007vyh.2
ENSMUSG00000022346	uc007vyg.2
ENSMUSG00000094149	uc012fdv.1
ENSMUSG00000036959	uc009tcc.1
ENSMUSG00000022346	
ENSMUSG00000036959	
ENSMUSG00000097053	
ENSMUSG00000035829	
ENSMUSG00000036959	uc009tcc.1
ENSMUSG00000035829	
ENSMUSG00000022346	uc007vyi.1
ENSMUSG00000036959	
ENSMUSG00000099355	
ENSMUSG00000035829	uc008iye.1
ENSMUSG00000037197	uc008iio.1
ENSMUSG00000085772	
ENSMUSG00000099355	
ENSMUSG00000022346	uc007vyg.2
ENSMUSG00000085772	uc007iin.1
ENSMUSG00000022346	uc007vyh.2
ENSMUSG00000022346	uc007vyg.2
ENSMUSG00000037197	
ENSMUSG00000035829	uc008iye.1
ENSMUSG00000085772	uc007iio.1
ENSMUSG00000103805	
ENSMUSG00000037197	
ENSMUSG00000025911	uc007agl.2
ENSMUSG00000035829	uc008iye.1
ENSMUSG00000037197	
ENSMUSG00000001175	uc007osq.1
ENSMUSG00000037197	
ENSMUSG00000096283	uc012fdp.2
ENSMUSG00000001175	uc007osq.1
ENSMUSG00000037197	
ENSMUSG00000102267	
ENSMUSG00000001175	
ENSMUSG00000025911	
ENSMUSG00000001175	
ENSMUSG00000025911	
ENSMUSG00000102344	
ENSMUSG00000020224	uc007hfa.1
ENSMUSG00000081202	
ENSMUSG00000025911	
ENSMUSG00000096333	uc008tjd.2
ENSMUSG00000102028	
ENSMUSG00000025911	uc007agl.2
ENSMUSG00000020224	uc007hfa.1
ENSMUSG00000084085	
ENSMUSG00000074491	
ENSMUSG00000096333	uc008tjd.2
ENSMUSG00000084085	
ENSMUSG00000047652	uc008xwh.1
ENSMUSG00000025008	uc008hla.1
ENSMUSG00000047652	uc008xwh.1
ENSMUSG00000032023	uc009pac.1
ENSMUSG00000025008	uc008hlb.1
ENSMUSG00000032023	
ENSMUSG00000103688	
ENSMUSG00000083949	
ENSMUSG00000025008	uc008hlc.1
ENSMUSG00000085002	
ENSMUSG00000068950	uc008jln.1
ENSMUSG00000032023	
ENSMUSG00000025008	
ENSMUSG00000083867	
ENSMUSG00000082833	
ENSMUSG00000096654	
ENSMUSG00000085275	
ENSMUSG00000023873	uc008ajx.2
ENSMUSG00000084826	
ENSMUSG00000103277	
ENSMUSG00000103440	
ENSMUSG00000084826	uc029ueo.1
ENSMUSG00000102592	
ENSMUSG00000093726	
ENSMUSG00000097250	uc008ppm.1
ENSMUSG00000084826	
ENSMUSG00000023873	uc008ajx.2
ENSMUSG00000083101	
ENSMUSG00000084826	uc029ueo.1
ENSMUSG00000083365	
ENSMUSG00000066152	uc008teg.1
ENSMUSG00000023873	
ENSMUSG00000081296	
ENSMUSG00000093485	uc007mny.2
ENSMUSG00000062210	
ENSMUSG00000024797	uc008ghb.1
ENSMUSG00000063522	
ENSMUSG00000074491	uc009ksp.2
ENSMUSG00000062210	
ENSMUSG00000024797	
ENSMUSG00000024797	
ENSMUSG00000062210	uc008ewq.2
ENSMUSG00000074491	
ENSMUSG00000102242	
ENSMUSG00000104363	
ENSMUSG00000063522	uc007wgg.1
ENSMUSG00000024797	
ENSMUSG00000066152	uc008tee.1
ENSMUSG00000086482	
ENSMUSG00000094862	
ENSMUSG00000074491	
ENSMUSG00000062210	
ENSMUSG00000024797	
ENSMUSG00000037169	uc007nbg.2
ENSMUSG00000094862	
ENSMUSG00000062210	
ENSMUSG00000066152	uc008teg.1
ENSMUSG00000038181	uc012dte.1
ENSMUSG00000024797	
ENSMUSG00000037169	uc007nbf.2
ENSMUSG00000062210	
ENSMUSG00000046807	uc029qyw.1
ENSMUSG00000046203	
ENSMUSG00000062210	
ENSMUSG00000038181	uc012dte.1
ENSMUSG00000037169	
ENSMUSG00000046203	
ENSMUSG00000101690	
ENSMUSG00000024797	
ENSMUSG00000101170	
ENSMUSG00000062210	
ENSMUSG00000024797	
ENSMUSG00000082384	
ENSMUSG00000062210	
ENSMUSG00000024797	
ENSMUSG00000086646	uc007itn.2
ENSMUSG00000063929	
ENSMUSG00000062210	
ENSMUSG00000024797	uc008ghd.1
ENSMUSG00000099087	
ENSMUSG00000086646	
ENSMUSG00000086043	
ENSMUSG00000092261	
ENSMUSG00000067063	
ENSMUSG00000062210	
ENSMUSG00000024797	uc008ghb.1
ENSMUSG00000062210	uc008ewv.2
ENSMUSG00000075046	
ENSMUSG00000062210	
ENSMUSG00000084787	
ENSMUSG00000063929	uc008ufa.1
ENSMUSG00000093567	
ENSMUSG00000103112	
ENSMUSG00000050108	uc007gnj.2
ENSMUSG00000031273	uc012hpp.1
ENSMUSG00000050108	
ENSMUSG00000042712	uc009uij.1
ENSMUSG00000103439	
ENSMUSG00000042712	uc009uij.1
ENSMUSG00000079523	uc009cjg.2
ENSMUSG00000036181	uc007puq.2
ENSMUSG00000079523	uc009cjf.2
ENSMUSG00000025780	uc008ihr.1
ENSMUSG00000102205	
ENSMUSG00000068614	uc008lpz.1
ENSMUSG00000073926	uc009iwo.2
ENSMUSG00000031273	
ENSMUSG00000079523	uc012enk.1
ENSMUSG00000023046	uc011zzz.1
ENSMUSG00000031273	
ENSMUSG00000068614	
ENSMUSG00000055602	uc008aly.1
ENSMUSG00000079523	
ENSMUSG00000083450	
ENSMUSG00000055602	uc008aly.1
ENSMUSG00000055602	uc008amb.1
ENSMUSG00000086326	
ENSMUSG00000086519	
ENSMUSG00000078184	uc007dty.3
ENSMUSG00000043439	uc007leg.1
ENSMUSG00000094464	uc008jlo.1
ENSMUSG00000087442	
ENSMUSG00000086892	uc029rkx.1
ENSMUSG00000085653	uc007boy.2
ENSMUSG00000102434	
ENSMUSG00000085653	
ENSMUSG00000061356	uc011znp.1
ENSMUSG00000101337	
ENSMUSG00000100667	
ENSMUSG00000092596	
ENSMUSG00000061356	uc011znp.1
ENSMUSG00000101337	
ENSMUSG00000100096	
ENSMUSG00000074203	
ENSMUSG00000085715	uc012hnd.1
ENSMUSG00000101337	
ENSMUSG00000100096	
ENSMUSG00000101337	
ENSMUSG00000080241	
ENSMUSG00000101337	
ENSMUSG00000066324	uc008rxc.2
ENSMUSG00000092603	
ENSMUSG00000050192	uc008oud.1
ENSMUSG00000067704	uc008nvq.1
ENSMUSG00000019872	
ENSMUSG00000078491	
ENSMUSG00000044058	
ENSMUSG00000100391	
ENSMUSG00000084311	
ENSMUSG00000019872	uc007fcu.1
ENSMUSG00000081767	
ENSMUSG00000019872	
ENSMUSG00000081512	
ENSMUSG00000085586	uc007leh.1
ENSMUSG00000101842	
ENSMUSG00000092203	
ENSMUSG00000100635	
ENSMUSG00000090535	
ENSMUSG00000102321	
ENSMUSG00000100764	
ENSMUSG00000086503	
ENSMUSG00000100764	
ENSMUSG00000029866	uc009bqf.2
ENSMUSG00000086503	uc009tzp.1
ENSMUSG00000086503	
ENSMUSG00000089806	
ENSMUSG00000095064	uc012fdk.1
ENSMUSG00000091408	
ENSMUSG00000029866	
ENSMUSG00000070509	uc009hra.2
ENSMUSG00000070509	uc009hqz.2
ENSMUSG00000057191	uc009olt.2
ENSMUSG00000029866	
ENSMUSG00000029866	uc009bqf.2
ENSMUSG00000070509	
ENSMUSG00000070509	
ENSMUSG00000029866	
ENSMUSG00000093798	
ENSMUSG00000057191	uc009olr.2
ENSMUSG00000030603	uc009fxp.1
ENSMUSG00000048772	uc008uii.2
ENSMUSG00000097237	
ENSMUSG00000057191	
ENSMUSG00000048772	uc008uij.2
ENSMUSG00000066626	
ENSMUSG00000059645	uc033iic.1
ENSMUSG00000066677	uc007drs.1
ENSMUSG00000099709	
ENSMUSG00000046321	uc009jnr.1
ENSMUSG00000048772	uc008uik.2
ENSMUSG00000048772	uc008uil.2
ENSMUSG00000048772	uc033idu.1
ENSMUSG00000066677	uc007drt.1
ENSMUSG00000030603	
ENSMUSG00000097035	uc008yms.1
ENSMUSG00000048772	uc033idv.1
ENSMUSG00000066677	uc007drt.1
ENSMUSG00000086020	
ENSMUSG00000104498	
ENSMUSG00000099613	
ENSMUSG00000075092	uc008krh.1
ENSMUSG00000095850	
ENSMUSG00000095338	
ENSMUSG00000030603	
ENSMUSG00000030603	
ENSMUSG00000047363	uc008jcp.1
ENSMUSG00000030603	
ENSMUSG00000030603	
ENSMUSG00000028647	uc008uql.1
ENSMUSG00000047363	
ENSMUSG00000097489	
ENSMUSG00000028647	uc008uqk.1
ENSMUSG00000102865	
ENSMUSG00000028020	uc008pog.2
ENSMUSG00000073943	
ENSMUSG00000028647	
ENSMUSG00000073943	
ENSMUSG00000087230	
ENSMUSG00000028647	
ENSMUSG00000087230	uc007cun.1
ENSMUSG00000021506	uc007qsd.1
ENSMUSG00000068815	uc008kor.1
ENSMUSG00000095034	
ENSMUSG00000087230	
ENSMUSG00000042364	uc007rxg.2
ENSMUSG00000087230	
ENSMUSG00000021506	uc007qsd.1
ENSMUSG00000097863	uc008ypm.1
ENSMUSG00000086521	
ENSMUSG00000091216	
ENSMUSG00000084196	
ENSMUSG00000092062	
ENSMUSG00000082274	
ENSMUSG00000076594	
ENSMUSG00000090244	
ENSMUSG00000092203	uc008cek.2
ENSMUSG00000097367	
ENSMUSG00000045048	
ENSMUSG00000081377	
ENSMUSG00000102154	
ENSMUSG00000039962	uc009own.1
ENSMUSG00000037393	uc007izq.1
ENSMUSG00000028020	uc008pog.2
ENSMUSG00000051306	uc009akp.1
ENSMUSG00000097904	
ENSMUSG00000028020	uc012cqq.2
ENSMUSG00000051306	
ENSMUSG00000051648	uc009ncz.1
ENSMUSG00000096256	
ENSMUSG00000006998	uc007yqq.2
ENSMUSG00000051306	
ENSMUSG00000028020	uc008pog.2
ENSMUSG00000051648	uc009ncy.1
ENSMUSG00000028020	
ENSMUSG00000054497	uc009eiv.1
ENSMUSG00000051648	
ENSMUSG00000051306	
ENSMUSG00000028020	
ENSMUSG00000051306	
ENSMUSG00000097152	
ENSMUSG00000056755	
ENSMUSG00000051648	
ENSMUSG00000102363	
ENSMUSG00000100988	
ENSMUSG00000092203	uc008cek.2
ENSMUSG00000100988	
ENSMUSG00000100988	
ENSMUSG00000092203	uc008cel.2
ENSMUSG00000100988	
ENSMUSG00000075012	uc008lhw.1
ENSMUSG00000100988	
ENSMUSG00000092203	uc008cek.2
ENSMUSG00000029029	uc008wbi.1
ENSMUSG00000100988	
ENSMUSG00000029029	
ENSMUSG00000100988	
ENSMUSG00000006998	
ENSMUSG00000100988	
ENSMUSG00000086652	
ENSMUSG00000029029	
ENSMUSG00000097163	uc008zfm.1
ENSMUSG00000100988	
ENSMUSG00000006998	
ENSMUSG00000100988	
ENSMUSG00000029029	
ENSMUSG00000006998	
ENSMUSG00000092203	uc008cek.2
ENSMUSG00000006998	
ENSMUSG00000092203	uc008cem.2
ENSMUSG00000006998	
ENSMUSG00000102388	
ENSMUSG00000052154	
ENSMUSG00000035293	uc007nml.2
ENSMUSG00000092203	uc008cem.2
ENSMUSG00000056755	uc009ddt.1
ENSMUSG00000095765	uc007tle.1
ENSMUSG00000056755	uc009ddt.1
ENSMUSG00000095316	
ENSMUSG00000082227	
ENSMUSG00000035293	uc007nmm.2
ENSMUSG00000056755	
ENSMUSG00000080832	
ENSMUSG00000056755	
ENSMUSG00000102388	
ENSMUSG00000035293	uc011yls.1
ENSMUSG00000035293	
ENSMUSG00000102388	
ENSMUSG00000033126	uc007fuo.1
ENSMUSG00000035293	
ENSMUSG00000097368	uc008zhb.1
ENSMUSG00000097368	
ENSMUSG00000103532	
ENSMUSG00000102388	
ENSMUSG00000091764	uc012gem.1
ENSMUSG00000102388	
ENSMUSG00000097213	
ENSMUSG00000100079	uc008tnj.1
ENSMUSG00000094962	
ENSMUSG00000090539	
ENSMUSG00000040009	uc007fpt.1
ENSMUSG00000095236	uc009brw.1
ENSMUSG00000086194	
ENSMUSG00000090539	
ENSMUSG00000031438	uc029xnd.1
ENSMUSG00000040009	uc007fpu.1
ENSMUSG00000069379	
ENSMUSG00000040009	
ENSMUSG00000046242	
ENSMUSG00000083938	
ENSMUSG00000031438	uc009uki.2
ENSMUSG00000046242	
ENSMUSG00000031438	
ENSMUSG00000043939	uc008cww.2
ENSMUSG00000043939	uc012auz.1
ENSMUSG00000068200	
ENSMUSG00000091037	
ENSMUSG00000093470	
ENSMUSG00000082019	
ENSMUSG00000021062	uc007nyt.2
ENSMUSG00000021549	uc007rix.2
ENSMUSG00000097018	
