geneId	anatEntityId
ENSDARG00000000529	UBERON:0003051
ENSDARG00000000529	UBERON:0008904
ENSDARG00000000529	UBERON:2000001
ENSDARG00000000529	UBERON:2000228
ENSDARG00000000540	ZFA:0001093
ENSDARG00000000551	UBERON:0000955
ENSDARG00000000551	UBERON:0000966
ENSDARG00000000551	UBERON:0001945
ENSDARG00000000551	UBERON:0002240
ENSDARG00000000551	UBERON:0002329
ENSDARG00000000551	UBERON:0003051
ENSDARG00000000551	UBERON:0003053
ENSDARG00000000551	UBERON:0003082
ENSDARG00000000551	UBERON:0003921
ENSDARG00000000551	UBERON:0003922
ENSDARG00000000551	UBERON:0004128
ENSDARG00000000551	UBERON:2000088
ENSDARG00000000551	UBERON:2001357
ENSDARG00000000563	UBERON:0000151
ENSDARG00000000563	UBERON:0000926
ENSDARG00000000563	UBERON:0000948
ENSDARG00000000563	UBERON:0001015
ENSDARG00000000563	UBERON:0001774
ENSDARG00000000563	UBERON:0002329
ENSDARG00000000563	UBERON:0003059
ENSDARG00000000563	UBERON:0003077
ENSDARG00000000563	UBERON:0003079
ENSDARG00000000563	UBERON:0003082
ENSDARG00000000563	UBERON:0003084
ENSDARG00000000563	UBERON:0003895
ENSDARG00000000563	UBERON:0004141
ENSDARG00000000563	UBERON:0004291
ENSDARG00000000563	UBERON:0005498
ENSDARG00000000563	UBERON:0007269
ENSDARG00000000563	UBERON:0008229
ENSDARG00000000563	ZFA:0001093
ENSDARG00000000638	UBERON:0000966
ENSDARG00000000656	UBERON:0000468
ENSDARG00000000666	UBERON:0000468
ENSDARG00000000690	UBERON:0002329
ENSDARG00000000690	UBERON:0002533
ENSDARG00000000690	UBERON:0003075
ENSDARG00000000690	UBERON:0010170
ENSDARG00000000690	UBERON:2000001
ENSDARG00000000730	ZFA:0001093
ENSDARG00000000760	ZFA:0001093
ENSDARG00000000767	UBERON:0000033
ENSDARG00000000767	UBERON:0000178
ENSDARG00000000767	UBERON:0001891
ENSDARG00000000767	UBERON:0002107
ENSDARG00000000767	UBERON:0003081
ENSDARG00000000767	UBERON:0005805
ENSDARG00000000767	UBERON:0006596
ENSDARG00000000767	UBERON:0007132
ENSDARG00000000767	UBERON:0007269
ENSDARG00000000767	UBERON:0009881
ENSDARG00000000767	UBERON:0009910
ENSDARG00000000767	UBERON:0010312
ENSDARG00000000767	UBERON:2000033
ENSDARG00000000767	UBERON:2000083
ENSDARG00000000767	UBERON:2000084
ENSDARG00000000767	UBERON:2000088
ENSDARG00000000767	UBERON:2005029
ENSDARG00000000767	UBERON:2005039
ENSDARG00000000767	ZFA:0001093
ENSDARG00000000796	UBERON:0000004
ENSDARG00000000796	UBERON:0000151
ENSDARG00000000796	UBERON:0000204
ENSDARG00000000796	UBERON:0000468
ENSDARG00000000796	UBERON:0001894
ENSDARG00000000796	UBERON:0001944
ENSDARG00000000796	UBERON:0002028
ENSDARG00000000796	UBERON:0002264
ENSDARG00000000796	UBERON:0003052
ENSDARG00000000796	UBERON:0003082
ENSDARG00000000796	UBERON:0007269
ENSDARG00000000796	UBERON:0008904
ENSDARG00000000796	UBERON:0010202
ENSDARG00000000796	ZFA:0000092
ENSDARG00000000837	UBERON:0000178
ENSDARG00000000837	UBERON:0000468
ENSDARG00000000857	UBERON:0000004
ENSDARG00000000857	UBERON:0000151
ENSDARG00000000857	UBERON:0000468
ENSDARG00000000857	UBERON:0000955
ENSDARG00000000857	UBERON:0000966
ENSDARG00000000857	UBERON:0001555
ENSDARG00000000857	UBERON:0001894
ENSDARG00000000857	UBERON:0001943
ENSDARG00000000857	UBERON:0002028
ENSDARG00000000857	UBERON:0002037
ENSDARG00000000857	UBERON:0002329
ENSDARG00000000857	UBERON:0003051
ENSDARG00000000857	UBERON:0003060
ENSDARG00000000857	UBERON:0005886
ENSDARG00000000857	UBERON:0010312
ENSDARG00000000857	ZFA:0001093
ENSDARG00000000861	UBERON:0000468
ENSDARG00000000861	UBERON:0000955
ENSDARG00000000861	UBERON:0001049
ENSDARG00000000887	UBERON:0000151
ENSDARG00000000887	UBERON:0000468
ENSDARG00000000887	UBERON:0001555
ENSDARG00000000887	UBERON:0002028
ENSDARG00000000887	UBERON:0003895
ENSDARG00000000887	UBERON:0004128
ENSDARG00000000887	UBERON:0005886
ENSDARG00000000887	UBERON:0007269
ENSDARG00000000887	UBERON:0010312
ENSDARG00000000887	UBERON:2000088
ENSDARG00000000906	UBERON:0000468
